指标,类别0,类别1,类别2,类别3,类别4,类别5,类别6
精确率,0.40789473684210525,0.5773195876288659,0.5508982035928144,0.4166666666666667,0.4779116465863454,0.945664739884393,0.68
召回率,0.6326530612244898,0.7272727272727273,0.5575757575757576,0.5882352941176471,0.7125748502994012,0.8131212723658051,0.7727272727272727
F1分数,0.496,0.6436781609195402,0.5542168674698795,0.4878048780487805,0.5721153846153846,0.8743987172634955,0.723404255319149
