指标,类别0,类别1,类别2,类别3,类别4,类别5,类别6
精确率,0.3253012048192771,0.512396694214876,0.49101796407185627,0.47058823529411764,0.3554817275747508,0.9506953223767383,0.6956521739130435
召回率,0.5510204081632653,0.8051948051948052,0.49696969696969695,0.47058823529411764,0.6407185628742516,0.7475149105367793,0.7272727272727273
F1分数,0.4090909090909091,0.6262626262626263,0.4939759036144578,0.47058823529411764,0.45726495726495725,0.8369504730105731,0.7111111111111111
