指标,类别0,类别1,类别2,类别3,类别4,类别5,类别6
精确率,0.24731182795698925,0.4594594594594595,0.453416149068323,0.14754098360655737,0.34172661870503596,0.940026075619296,0.53125
召回率,0.46938775510204084,0.6623376623376623,0.44242424242424244,0.5294117647058824,0.5688622754491018,0.7166998011928429,0.7727272727272727
F1分数,0.323943661971831,0.5425531914893617,0.44785276073619634,0.23076923076923078,0.42696629213483145,0.8133107727016357,0.6296296296296297
