指标,类别0,类别1,类别2,类别3,类别4,类别5,类别6
精确率,0.35051546391752575,0.5647058823529412,0.5202312138728323,0.34782608695652173,0.3914590747330961,0.9584859584859585,0.8
召回率,0.6938775510204082,0.6233766233766234,0.5454545454545454,0.47058823529411764,0.6586826347305389,0.7803180914512923,0.9090909090909091
F1分数,0.4657534246575342,0.5925925925925926,0.5325443786982249,0.4,0.49107142857142855,0.8602739726027397,0.851063829787234
