指标,类别0,类别1,类别2,类别3,类别4,类别5,类别6
精确率,0.3333333333333333,0.5047619047619047,0.43956043956043955,0.1044776119402985,0.29754601226993865,0.9629080118694362,0.3409090909090909
召回率,0.7142857142857143,0.6883116883116883,0.48484848484848486,0.4117647058823529,0.5808383233532934,0.6451292246520874,0.6818181818181818
F1分数,0.45454545454545453,0.5824175824175825,0.4610951008645533,0.16666666666666666,0.3935091277890467,0.7726190476190476,0.45454545454545453
